gene	pval
YDD19	0.186181817
ASCL1	0.186567117
HOXC5	0.186927147
NKIRAS2	0.186994068
P15RS	0.186994068
FIGF	0.187200368
CCT4	0.187434414
TEGT	0.18800453
SEC61B	0.188145589
ENTPD1	0.188157059
BXDC5	0.188199466
OLIG2	0.188400886
B3GALT2	0.18845554
DYNC1H1	0.18845554
C10orf2	0.188462979
KCNK10	0.18852773
SERPINA4	0.18852773
TMEM50B	0.188922076
TIMM8A	0.189182433
RGS20	0.190020833
HPRT1	0.19056844
COL18A1	0.190753675
LOC257407	0.190753675
TMEM135	0.190753675
RHD	0.191029882
KANK2	0.191626866
DNAJC12	0.191768146
ZNRF4	0.191953403
PAH	0.192312284
IL11RA	0.192510643
COL16A1	0.193077359
ATXN10	0.193902125
RAD51L3	0.193926062
WIF1	0.193926062
HTR1E	0.194949269
C1orf144	0.19616396
GPD1L	0.196269696
ARL6IP1	0.196419857
IFIT5	0.196419857
NME3	0.196800611
SLIT1	0.196824801
MSX2	0.197931169
TBC1D22A	0.197931169
PDLIM3	0.198140113
CASKIN2	0.198496334
DMXL2	0.198582505
ACTN1	0.199266185
IL1R1	0.199266185
ARMCX2	0.199619352
FLNB	0.200221501
CHEK1	0.200269306
CDS2	0.200878121
C9orf91	0.200950411
CNKSR1	0.201030165
HIST1H2AB	0.202028632
CCDC90A	0.202828997
JTV1	0.203522602
UGCGL2	0.203613939
IMPA1	0.20402857
PPAP2B	0.204396337
ACP2	0.20465129
BZW1L1	0.20465129
CSF3R	0.20465129
PCP4	0.20465129
TBC1D8	0.20465129
AHNAK	0.204964228
LAPTM4A	0.205034234
PLA2G4A	0.205657906
SATB1	0.205657906
RNGTT	0.206547256
RBCK1	0.207450459
CCDC85B	0.208705551
AP2M1	0.208765532
RGL2	0.208977893
NCKIPSD	0.209855272
GSPT1	0.209942929
CA3	0.210190484
TGFB1I1	0.210190484
LGMN	0.211248462
PSMD12	0.211248462
ORC4L	0.21131536
TIPIN	0.21131536
RNASET2	0.211339116
CCT8	0.211368125
DTWD1	0.211676303
HK2	0.211739453
CFI	0.212177095
SORBS1	0.212646122
PDS5B	0.213039148
LGALS1	0.21332967
LCMT1	0.213987319
FRMPD4	0.21419684
CENPE	0.21421469
HPS1	0.21421469
MN1	0.214612135
CNDP2	0.214957131
XRCC5	0.215069059
PRMT3	0.215472998
ISOC2	0.215882801
SCHIP1	0.215882801
GTF3C2	0.216349499
ATP1A3	0.217186329
ADORA2A	0.21788149
KCTD7	0.218977184
NOTCH1	0.218977184
GTF2E1	0.219633015
SOX13	0.219750341
REV3L	0.219776124
MKL1	0.219900452
ABCB7	0.220789979
SYNGR3	0.220842211
CORO1C	0.22137866
PRMT5	0.221505736
COL4A1	0.22189726
SPTAN1	0.222488395
CNOT2	0.222728559
DNM3	0.222728559
ACCN2	0.222829211
ATM	0.222829211
SLC16A3	0.222829211
S100A6	0.2228894
RNF24	0.223097763
CD200	0.223917552
MBNL2	0.223935339
DSG2	0.224137857
ALDH7A1	0.224628964
LAS1L	0.224628964
DPYSL2	0.225582106
PABPC3	0.226327
MEGF9	0.226440132
TMEM22	0.226655363
APRT	0.226847943
HS6ST1	0.227450582
MCFD2	0.227450582
TMSB4X	0.227450582
C10orf56	0.227518831
KDR	0.227518831
GATM	0.228001716
ARF3	0.228357906
SCN3B	0.228440605
MBTPS1	0.228581619
LDHB	0.228802201
MLX	0.229425028
NACAD	0.229425028
FAM128B	0.229820361
PTPRN2	0.229872989
THOC6	0.230795407
RPL18A	0.230980945
HAND2	0.232065463
GNG7	0.233091486
MIPEP	0.233418492
SGCE	0.233997161
ASGR2	0.234263838
CTSH	0.234315446
RPSA	0.234315446
STRAP	0.235150099
PAX5	0.236017015
IL6ST	0.236745756
E2F8	0.236838899
ALDOB	0.237277275
TTC35	0.237875273
MEG3	0.238060031
ATXN1	0.238098966
ENOX1	0.23841975
ZNF473	0.238573974
TLE1	0.238786262
GAA	0.239535452
LSM12	0.239535452
NDUFV2	0.239535452
TRA2A	0.239535452
CDC42	0.239605573
HNRPH2	0.239773005
WDR45	0.240050864
MGAT2	0.241069866
NFYB	0.241285554
ST14	0.241952631
ARHGEF9	0.242499962
EBF2	0.242499962
VKORC1	0.243130529
RUFY3	0.24313404
C12orf51	0.243630038
CUEDC1	0.243748551
POGZ	0.243748551
BCAT1	0.243868699
MAGI2	0.243868699
ZNF225	0.243868699
ENSA	0.243953889
FOXE3	0.244832022
PXDN	0.245148903
ENPEP	0.245152673
PARN	0.245229158
AZI1	0.245882483
RBPJ	0.246899933
C15orf24	0.248939364
SFTPC	0.24920626
EIF4EBP2	0.24954858
COX11	0.249836513
MKRN1	0.250038164
TAGLN2	0.250038164
HOXA11	0.250581353
GM2A	0.250775502
ANKRD6	0.25110448
SMS	0.251155732
ANKRD57	0.251434714
C18orf25	0.251561342
ARHGAP29	0.251610118
ZDHHC6	0.252099315
IFRD1	0.252283699
FBLN5	0.252307671
GTPBP8	0.252393191
CDKN1C	0.252710038
PPCDC	0.252989424
DERL1	0.253150739
C7orf42	0.253235876
NIF3L1	0.253507028
ZC3H11A	0.254408198
ZNF193	0.254830042
TUSC4	0.254924842
EHD1	0.255651163
CYP2B6	0.256379468
LSM5	0.25648933
KIAA0774	0.256555268
PRSS8	0.256679102
REXO2	0.256679102
SH3BGRL3	0.256679102
TGFBR2	0.256679102
UGT2A1	0.257128794
CBS	0.257220462
MKRN2	0.257220462
AK3L1	0.258605949
RNF130	0.258942824
LOC439992	0.25902315
ORC1L	0.25902315
DYNC1I1	0.259098113
PCGF2	0.259308834
RAD51AP1	0.259423314
ZCCHC11	0.259423314
TAC3	0.259733407
NEUROG1	0.259987677
TTTY15	0.260217552
NANS	0.26096829
HNRNPA1	0.261203287
SUPT7L	0.261203287
PLXNA3	0.2613086
TJP3	0.261976458
VPS72	0.261976458
GLRB	0.262434842
FRY	0.262547247
CABC1	0.262783925
LASS2	0.262948233
DAAM2	0.262963809
PSME4	0.262963809
C1QBP	0.263697128
LOC727942	0.263697128
TSPAN13	0.263858321
SLC25A20	0.264673504
UBE2A	0.264891787
ASCC2	0.265593896
MRLC2	0.266074316
UTX	0.266642124
ACTG1	0.267055165
EWSR1	0.267949494
TRIM2	0.267949494
PKIG	0.268720751
C1QTNF3	0.269024569
TM4SF5	0.269101701
PAPPA	0.269320616
DCPS	0.269513957
HOXB7	0.270154947
GLB1L2	0.270189635
HIC2	0.270438874
PKNOX2	0.270438874
SND1	0.27082093
DUSP6	0.270888532
PHLDA2	0.271078273
IRS1	0.271258152
GCA	0.271409841
LMNA	0.272017722
FOXN3	0.272194162
HSP90B1	0.272194162
HIST1H2BD	0.272241818
CACNA1A	0.2723508
ADCY2	0.272396474
TNKS2	0.273583099
ARHGEF17	0.273903492
MYCBP	0.273903492
MSH6	0.273975021
SIX3	0.274095035
LAMC1	0.274999342
RANBP5	0.274999342
NEDD4L	0.275778027
MAN2A2	0.276019459
PGAP1	0.27613012
STK39	0.27613012
ARHGEF10L	0.276514864
CANT1	0.27661783
RP11-35N6.1	0.27661783
GPR176	0.276669976
FAM57A	0.277680124
TEX261	0.277680124
HOXD1	0.278410852
GTF2E2	0.278484358
WNK1	0.278662335
ATG4A	0.279504607
GLUL	0.279504607
BASP1	0.279673847
AES	0.279718846
DERA	0.280239513
CHGB	0.280697478
ATF3	0.280700521
OXR1	0.280700521
SLC29A1	0.280700521
MELK	0.281409729
SFRP5	0.281409729
LRRN3	0.281803916
LOC157627	0.281885613
NOMO2	0.282351395
RUVBL1	0.282351395
CRTC3	0.282987743
ZNF711	0.28308718
AATF	0.285326389
KIAA0133	0.285729526
LRRC17	0.285729526
LOC440248	0.286069661
EFHC1	0.28630882
KIAA0586	0.286396436
CDK5RAP1	0.286791659
C14orf1	0.286813881
FCGRT	0.286971884
GSTZ1	0.287058911
FAM38B	0.28712859
SPTBN1	0.287309052
PMS2L8	0.287683993
PRDX4	0.287683993
DOPEY1	0.288002232
GTPBP1	0.288251807
CD99	0.28905483
C16orf62	0.289458563
NOMO3	0.290130832
GAS2L1	0.290854836
DICER1	0.291409168
MRPS14	0.291409168
N4BP2L2	0.291409168
RNASEH2A	0.291409168
PDXDC1	0.29196381
ZNF606	0.292137802
LTBP3	0.292326313
ACTR1A	0.293832108
TOX	0.293948978
GARNL1	0.294029404
SRGAP3	0.294382932
NPR3	0.294898565
NFX1	0.295544879
COQ2	0.295874233
CTH	0.296306049
PTPLB	0.296451474
SEC31A	0.297651183
CGGBP1	0.297719628
ANXA7	0.298217027
JMJD1A	0.298217027
MYCBP2	0.298217027
PCCB	0.299725471
APP	0.29990838
EPM2AIP1	0.299949311
SILV	0.299949311
ATP8A1	0.300401074
NR0B1	0.300446072
SFPQ	0.301383392
EGFR	0.301755725
C14orf105	0.30187425
FKBP9	0.302650712
MYO10	0.303006517
ALDOC	0.303089035
PKP2	0.303089035
STC1	0.303089035
NCLN	0.303157128
B4GALT1	0.30402508
NLE1	0.304337799
DERL2	0.304747244
C2orf28	0.305236808
LDHA	0.305673986
RALB	0.305673986
PAK6	0.305726299
NGFR	0.305868622
RAB11FIP3	0.305948025
SUPT16H	0.305948025
HIST1H1A	0.306182559
PEX19	0.30621688
PPM1F	0.306387224
REEP1	0.307072045
LDLRAP1	0.30844807
AKAP11	0.308743455
CCDC88A	0.309015245
MPHOSPH8	0.309258957
PTRF	0.309654194
CANX	0.309899712
NKX6-1	0.311432732
G6PC3	0.311628736
C14orf172	0.312247907
CECR5	0.312247907
EI24	0.312247907
TNMD	0.31256365
PCDH12	0.312833099
PRPSAP2	0.312833099
REEP5	0.312892495
SIPA1	0.313509428
SRI	0.313509428
WDR68	0.31386493
CLIC1	0.314333264
INPPL1	0.31468287
MGAT4C	0.3150581
UBE2J1	0.315885664
CD63	0.316234167
DCLRE1C	0.316234167
TMEM208	0.316825217
C11orf48	0.317026218
WISP1	0.318050413
PIP4K2B	0.318181502
TRSPAP1	0.318181502
SUB1	0.318620442
NEFM	0.319685727
ISLR	0.320565584
SLBP	0.320809952
LRRN2	0.32081644
HECW1	0.321811967
ATF7IP2	0.322185278
BCR	0.322185278
PEX7	0.322185278
C18orf10	0.322230263
C9orf127	0.323073573
TAOK3	0.323073573
LIMA1	0.323184519
UBE2Z	0.323237123
LOC645323	0.323563108
DDIT4	0.32676189
MAP2K1	0.32676189
TCEAL4	0.327308715
MPP6	0.327647651
IL17B	0.32808075
KRT23	0.32808075
HIST1H2BI	0.328157703
ACTG2	0.328501268
AIP	0.329676391
PSMD7	0.329676391
SSX2IP	0.329676391
CASD1	0.330369674
CIC	0.330734074
RPS2	0.330867405
PLEKHA5	0.331003986
INPP5F	0.331334197
RAB11FIP2	0.331591619
CRLF1	0.331637567
EIF4A3	0.331637567
FZD6	0.331725138
ITGB5	0.331794145
RGS12	0.333109502
ATP1A2	0.333110901
ADRB3	0.333175764
FNTA	0.33358973
PFKP	0.334617703
ECM1	0.334929645
RPLP0	0.334929645
SV2A	0.335792449
CYFIP1	0.336129473
PDPN	0.336129473
CDC2L6	0.336383317
CLCN4	0.336616514
AKR1C2	0.337213062
JUP	0.337213062
PTP4A1	0.337213062
CHST11	0.338731971
H6PD	0.338731971
AMBP	0.338919851
TWF1	0.33961103
DES	0.339900526
REPIN1	0.33991039
ALMS1	0.341105916
FLJ20254	0.341117492
RPL29	0.345140829
ITGA2B	0.345456754
BPGM	0.346303625
CBR1	0.34683788
NDST3	0.347135884
CLCC1	0.347578429
SKP1	0.349380968
ALDH2	0.350215512
SLC16A5	0.350376671
ATP10D	0.350469131
PLEKHB2	0.350642905
PXMP2	0.351426073
LMAN2	0.351564369
DOCK9	0.351750513
SIRT6	0.35214168
ZRANB1	0.352418489
FAM60A	0.353118201
MYO6	0.353606347
LPHN1	0.354934783
PLOD2	0.355965268
PAK3	0.356989759
CENPA	0.357655024
IFT88	0.357999534
CDH15	0.358495824
KIAA0240	0.358495824
THTPA	0.358495824
GDI2	0.359245471
ACAT1	0.361003203
MAMLD1	0.361065752
TFRC	0.361265453
OSGEPL1	0.361443134
ZNF331	0.361782691
RELN	0.362306964
PHF2	0.362535057
FAP	0.364191152
DCX	0.364513982
CPS1	0.365203174
GUCY1B3	0.366357379
ITPR1	0.366891219
RCN1	0.367653415
GRIA2	0.368908572
KRT18	0.368908572
CDK5	0.369631514
SPON1	0.369668308
CCNG2	0.369700784
EFEMP2	0.369700784
EIF3M	0.369700784
LAMA2	0.369700784
LRRC47	0.369770137
SHOX2	0.369770137
ADAM28	0.370221027
TCF12	0.37252063
ITFG1	0.373299517
ACADSB	0.374202144
RGS2	0.374514788
LOC400451	0.37621844
CENPQ	0.376575053
WDR12	0.376575053
RAB3GAP2	0.376625524
IARS	0.377437745
NPPC	0.378560171
GLRX	0.378883808
INA	0.37946275
RYR2	0.380124481
CDX2	0.381086232
RGS1	0.381086232
EXOC7	0.381547377
DMD	0.383429662
HMGB1	0.383962357
DIO3	0.387188394
POMP	0.387391695
POLR2D	0.387867446
PID1	0.388106882
PRDX6	0.388383321
SFXN3	0.388515732
FABP5	0.388522521
LOC152719	0.38934801
CDH18	0.390441088
NAT8	0.390682474
HOMER1	0.391324147
CCBL1	0.393988722
NUP133	0.394711412
ASPH	0.39567417
PRKACA	0.395869671
C10orf28	0.396094469
GCAT	0.396208183
PRKG2	0.397071966
CHRNA1	0.397497817
EBAG9	0.399495091
ATP8B1	0.400198792
TNFRSF10B	0.402259704
PTK7	0.402678004
ASL	0.402704696
DKFZp434H1419	0.40328392
PSMA2	0.403925333
CACNA1G	0.404163138
FBLN2	0.404871684
GRB10	0.405184159
LONP1	0.40525218
ITIH2	0.405350577
LPCAT1	0.405350577
SERPINA6	0.405350577
TRIM9	0.405441614
WWP2	0.406117948
MMP2	0.406328206
NUP88	0.407285737
PIH1D1	0.407516482
SH2B2	0.407516482
CHMP2A	0.408614554
HIST1H1D	0.408614554
EPB42	0.409410691
ASTN2	0.409537985
KLHL24	0.409537985
SCYL3	0.409998243
ZFAND6	0.411096189
POLB	0.411229926
SYNPO	0.411229926
TMEM45A	0.411325451
MBOAT7	0.411549584
HSD17B11	0.41162936
TCEAL2	0.412449203
AIM1L	0.412540567
FLJ10769	0.41369289
TRIP10	0.41369289
ANKRD5	0.414408533
BCAP29	0.41488837
NHEJ1	0.41488837
NTRK1	0.41488837
SLC7A11	0.415491413
GDI1	0.416662591
TLE3	0.416662591
LHFPL2	0.416763825
SEMA4C	0.417000311
CRYZ	0.417070194
ACOT2	0.417123599
IMPACT	0.417123599
C20orf11	0.417347369
MAPT	0.417356169
C2CD3	0.417938378
PGM1	0.418733137
PAK7	0.419096818
GTF2IRD1	0.419240731
CLINT1	0.419536909
NT5C2	0.419536909
RNF7	0.419536909
GTSE1	0.420409182
CLTA	0.421711728
PLXNC1	0.421767284
POU4F1	0.422724077
MDM2	0.422768627
SS18	0.42287853
HCFC2	0.423869965
CALCB	0.424018592
MAB21L2	0.424191773
SKP2	0.424482654
POLR3K	0.424870617
RFTN1	0.425194683
SYNCRIP	0.425194683
ASNA1	0.425270922
IFI16	0.426171397
S100A4	0.426850201
SV2C	0.427814689
MREG	0.427911451
PRDX2	0.427911451
LSM6	0.429482847
C11orf10	0.429521315
CLDN4	0.429521315
MEA1	0.429521315
EEF1B2	0.429617729
SERTAD2	0.430346342
IGF2BP3	0.431091893
DKK2	0.431645392
ALX3	0.433203004
FOXB1	0.433203004
TSPYL2	0.433203004
ZFP36L2	0.433277564
SUCLG2	0.433317222
GANAB	0.433509815
RAB23	0.433509815
PDGFA	0.434070517
SELT	0.434351966
STXBP1	0.434351966
NRG1	0.4347547
RP6-213H19.1	0.4347547
CDK5R1	0.43622438
EZH2	0.436829881
FOLH1	0.436874094
SERPINA5	0.437143426
ALPL	0.437477245
MAP3K13	0.437720707
RUNDC3A	0.437720707
PROC	0.438956364
MTUS1	0.439441952
POLR3D	0.439567349
ACSF2	0.441767064
HOXB5	0.441767064
LOC402057	0.441767064
MAPK11	0.441767064
SULT2A1	0.441767064
TSPAN6	0.442066826
PSMC2	0.442859051
GSTK1	0.444115915
GDF11	0.44552807
AKR1C1	0.445660077
INSM1	0.445660077
FUT9	0.445696283
SAR1A	0.446096877
COQ9	0.446174949
FAM130A1	0.447515387
CRKL	0.448830771
SPTLC1	0.449139307
TRPS1	0.449139307
EIF2S2	0.45007982
RBP1	0.450121793
GALNT7	0.450346951
PCDH17	0.450346951
SNHG3	0.450553273
LRRC49	0.452485693
UBE2V2	0.452485693
PDIA3	0.453146044
C5orf21	0.453619111
ZC3H7B	0.45399457
DKC1	0.454488157
RNF43	0.454869815
EMP2	0.454971709
MFAP2	0.454971709
ZNF614	0.455112133
ITPKB	0.455820184
C2	0.456534236
MYBPC1	0.457091152
GNL3	0.458412613
C8orf4	0.458879389
CLDN7	0.45930621
GBX2	0.459654183
KIF5C	0.460918556
PAWR	0.460918556
PACSIN2	0.461061342
WRNIP1	0.461388881
KIAA1772	0.461422873
ARHGEF12	0.46238399
CYB5B	0.462395586
GPR153	0.462395586
NELL1	0.462395586
RAB6A	0.462395586
PFN1	0.462399273
RIOK3	0.463069722
HMP19	0.463931749
C6orf32	0.463979562
GATA2	0.463979562
KCNMA1	0.463979562
SFRS7	0.463979562
TBL2	0.463979562
COLEC11	0.464407389
KLK6	0.464407389
RP5-886K2.1	0.464407389
MGC24039	0.464585215
PARVA	0.464585215
LIPA	0.466024921
GTF3C4	0.466054422
CCDC51	0.466854161
SPN	0.46705635
FOS	0.46707381
MAFF	0.467406111
JAM2	0.467525336
CCDC47	0.468027671
OSR2	0.468173314
C1orf21	0.468202115
RYK	0.468202115
MGEA5	0.468942322
DAG1	0.46906965
PTGER2	0.46906965
PPT2	0.4698496
VPS13D	0.471384626
RAB11A	0.471899223
CP110	0.472075936
PTS	0.472075936
CELSR1	0.472238391
TMCO6	0.474047004
KIF3A	0.474482406
C5orf22	0.474674759
AP3D1	0.476077205
G3BP1	0.476077205
SOX5	0.47630985
SYNGR2	0.47630985
PABPC1	0.477514094
CLDN5	0.477586869
NAMPT	0.477830457
PPP2CA	0.477964462
EMG1	0.478142638
KCNS3	0.478556057
PSMD4	0.478698006
OSBP2	0.479346411
FAT4	0.479983698
HERC2P2	0.481095577
UBE2D3	0.481196408
SMC1A	0.482551062
ENC1	0.482835633
C1D	0.483291375
MRPS27	0.485167111
NPHP4	0.485167111
SLC4A1	0.485615894
UQCRH	0.486093176
PTPN2	0.486652252
SEMA3B	0.486752775
PFKFB3	0.487412293
ARPP-19	0.487843913
C9orf86	0.487843913
BST2	0.488238933
ADH6	0.488524837
MRPS11	0.489446067
CKLF	0.490206921
COL4A5	0.490206921
ESR1	0.490206921
TBPL1	0.490206921
ATPBD1C	0.490964032
ITGA4	0.490964032
ARHGAP10	0.491061544
FBXO2	0.492840994
DYNC1LI1	0.494906391
VCAN	0.496350831
INPP1	0.496760227
CTSE	0.49680862
SPTA1	0.499447016
PCDHB13	0.499969776
C3orf28	0.500035031
CASK	0.500795545
TNRC18	0.502487111
MR1	0.502518805
ATP7A	0.502752354
BAZ1A	0.502752354
SFN	0.502752354
C7orf24	0.503323316
MAGED1	0.503323316
SNX19	0.503452139
NDRG3	0.504186753
DNAJC16	0.5058805
SNRPD3	0.5058805
KPNA1	0.506716797
PSAP	0.506716797
SLC35F2	0.506716797
HSPD1	0.507120976
COL11A2	0.507370969
TCF4	0.507662885
CERK	0.508862532
KBTBD10	0.510859023
MTMR2	0.511166001
DECR1	0.511231615
BCL2L1	0.512349173
CAPG	0.512349173
HSPA4L	0.512349173
GSK3A	0.512940602
CTSK	0.514065195
FLJ10357	0.515142629
NRBP1	0.515642049
C6orf103	0.51705858
RFC2	0.51711295
KLC1	0.517637445
PODNL1	0.518117866
FAM110A	0.518274257
ZNF32	0.518585131
INHBA	0.518813218
PNRC1	0.518813218
GTF3C3	0.519626282
RPS17	0.519750851
HESX1	0.520138077
GTF2A2	0.521048461
MFAP3L	0.522664757
MFHAS1	0.522664757
NUSAP1	0.522664757
SNX2	0.522664757
RAD51	0.523372885
CLIP2	0.523761969
TAF12	0.525274993
NKX2-1	0.525504753
MSRA	0.525974825
ZNF821	0.525974825
BCKDK	0.526550228
HBA1	0.526607441
KCNH7	0.526792938
PCDH9	0.527022789
FLJ13197	0.527879796
CNBP	0.528736884
GPR124	0.528736884
PPP1R1A	0.529408432
WNT2B	0.529631305
TBX6	0.530104131
SLC25A12	0.530164586
NELL2	0.530780508
HEY1	0.530899602
PBLD	0.530899602
ARPC4	0.530993279
CDC42BPA	0.530993279
SS18L2	0.531124793
C3orf14	0.532138113
ST6GAL1	0.533205645
GPR172A	0.534215562
SGCD	0.534215562
CTA-126B4.3	0.534804932
EPS8	0.534804932
ECEL1	0.534845124
RHOBTB3	0.534845124
RPS18	0.534845124
ZNF207	0.534845124
MTMR3	0.536291193
C14orf108	0.536763719
CROT	0.536763719
CST6	0.536763719
RPL10A	0.536763719
TRIT1	0.536763719
LOC654342	0.537056225
HLA-A	0.537250455
ARHGAP19	0.537450141
DNPEP	0.538392978
C14orf132	0.540197021
SH3BP4	0.540197021
RPL28	0.541660064
SYNE1	0.542304958
TNIP1	0.54432209
FAM153A	0.546782795
CDC123	0.547786002
HBA2	0.547786002
RIMBP2	0.547786002
FLI1	0.548215627
PDCD10	0.548215627
MRPL15	0.5496339
NR1H4	0.550036889
GLO1	0.551275062
GJB3	0.5521779
TBC1D2B	0.553331103
MYF5	0.555573227
RAB7L1	0.555573227
PYGB	0.556623395
HMGN4	0.556645706
KIT	0.556645706
ITIH1	0.557202369
FLJ20323	0.557306064
ODF1	0.557306064
PRKCD	0.557387022
GC	0.557419549
MYST4	0.557419549
RPL12	0.557419549
SET	0.557419549
BCL11B	0.55747129
SASH1	0.55747129
MSH2	0.557823928
ATAD2	0.55798812
GAK	0.55798812
SERPINF1	0.55798812
TMEFF1	0.55798812
ZNF160	0.558731133
C2orf3	0.558739745
EXOSC8	0.559031924
FAM115A	0.559098398
KLF10	0.559098398
TMEM8	0.559805736
IMP3	0.560312137
ABAT	0.561811942
SMNDC1	0.561858414
PRDM2	0.562240836
PNMA1	0.562293922
HSPA2	0.563368206
PIGF	0.563710813
DAAM1	0.564247535
MTX1	0.564444401
BCHE	0.565057684
GMPR2	0.567110042
PPP2CB	0.567110042
SCRG1	0.567110042
CCT6A	0.568662309
RIC8A	0.568662309
SKIL	0.568662309
TNS4	0.568662309
NAT13	0.57025982
RPS9	0.57025982
RMST	0.570483621
DENR	0.57078223
ANKRD36B	0.571116029
CAMSAP1	0.571280066
EFNB3	0.571968238
WAPAL	0.571996249
QKI	0.572091035
GLCE	0.572290287
PTCH1	0.572290287
PCSK1N	0.572424792
POFUT2	0.572424792
CLASP2	0.572532265
KIAA0913	0.576044262
AKAP6	0.576115362
NIPA2	0.576368228
ARL2BP	0.576707864
LOC400642	0.578170317
DDT	0.580154503
KCTD3	0.580154503
COL9A1	0.58060975
FNDC3A	0.580802458
HMHA1	0.5810546
IDS	0.5810546
DSC1	0.582922883
ATP2B2	0.583256204
GTF2A1	0.583336268
ALDH1A1	0.583357943
NBEA	0.584200293
LRRC37A	0.584483501
KIF1B	0.584559551
NDUFA4	0.584923263
ATP9A	0.584957681
ROBO1	0.585097958
C1orf216	0.585585956
CAPN1	0.585875104
FAM13A1	0.585884829
CYP3A7	0.587167887
IRF2	0.587167887
ATXN7	0.587328638
ORC3L	0.587328638
SNTB2	0.588796261
DDX18	0.589286546
GMDS	0.589921299
LOC730107	0.589921299
PKNOX1	0.589921299
ZNF238	0.591869603
CYP19A1	0.592598828
RPL18	0.592959101
RPL41	0.593208446
ZNF536	0.593208446
PROCR	0.594080089
SIM1	0.594080089
DCC	0.594831944
SMEK2	0.595836616
STXBP2	0.595836616
ETFDH	0.596316409
SLC25A28	0.597253076
ADSS	0.597257949
BCAP31	0.597308759
TNFAIP6	0.59821217
ARF1	0.598664798
ERP29	0.598664798
APOLD1	0.598728488
ERG	0.599819994
MED8	0.60017953
OLA1	0.60017953
WDR47	0.601636593
DDAH1	0.601737353
GNAO1	0.601737353
SLC35E1	0.601737353
WFDC2	0.60311272
ZNF277	0.60311272
C14orf166	0.60321807
DDEF1	0.60321807
IGFBP1	0.60321807
LSR	0.603267879
RNF5	0.603282465
SPAG4	0.603802335
STOML1	0.604030886
MXD3	0.604565882
RIMS3	0.604565882
SDHC	0.604565882
SSPN	0.607475432
FLJ12151	0.607563702
SH3BGRL	0.608238648
EGLN3	0.609488496
GALNS	0.610055873
F12	0.610533568
NPTXR	0.610691448
WT1	0.611265405
HSP90AB1	0.612853249
RHOBTB1	0.61349542
DBI	0.615464421
MGC3032	0.615464421
PSEN1	0.615464421
CLOCK	0.616171965
MYOM2	0.616171965
NARS2	0.616171965
ST8SIA1	0.616171965
RIPK4	0.616403065
TMEM151B	0.618732181
PHGDH	0.618740907
SEZ6L	0.61912927
GNA11	0.619946901
TRPM2	0.620727573
TRIP6	0.620774361
SEPW1	0.62100986
TUG1	0.621552129
EPB49	0.621721071
PSMB1	0.621767381
RPS27A	0.621910313
TGFBI	0.622363073
ELAVL2	0.62274729
PTPRF	0.622784254
MATN3	0.622929048
ARID3A	0.623101614
CAB39L	0.623323465
PDE5A	0.623323465
PDE4B	0.623369312
IRF3	0.624227692
NPM1	0.624227692
TMEM183A	0.624227692
CLDN3	0.625098582
ALDH4A1	0.625251309
MAGED4B	0.626008369
PSPHL	0.626283566
MAN2A1	0.627190785
SHFM1	0.627190785
LRRTM2	0.628281253
PNO1	0.628485256
AFF1	0.628829284
PITX1	0.628829284
SCN3A	0.628829284
IGF1	0.631470517
CYB5R1	0.631760294
CHCHD2	0.632467245
QSOX1	0.632467245
TMEM48	0.632467245
CFB	0.633423556
CENPB	0.633484372
TPD52L2	0.634388261
LOC643641	0.634840381
LAP3	0.634964104
NOLC1	0.634964104
PEX3	0.634964104
PDE8B	0.63548363
PRUNE	0.63668128
RPP25	0.638788319
ZC3H14	0.638788319
SCYE1	0.639345102
LOC389517	0.640062165
SLC22A4	0.640062165
WDR45L	0.640087995
SPRY4	0.640487596
AP3B1	0.64056358
PUS7	0.641132463
PLA2G4B	0.641327425
SLC6A1	0.641327425
C8orf70	0.642973075
MS4A6A	0.642973075
MSR1	0.642973075
NFATC4	0.642973075
SEC61G	0.642973075
AMPH	0.643265589
ENO1	0.643803619
SLC5A3	0.644006956
MADD	0.645339202
ADCY6	0.645390565
GRPEL1	0.645695977
IGFBP6	0.645695977
PTHR1	0.645695977
RICH2	0.645695977
RAG1AP1	0.645795618
DYNLRB1	0.646984672
PHB	0.647069802
SNX26	0.648911475
EIF2C1	0.648991276
HSDL2	0.649449149
TUBA1A	0.650949939
PCGF3	0.651324168
TEX10	0.651324168
CASP6	0.651563447
RAB22A	0.651663984
C18orf22	0.652492466
ATP1A1	0.652897572
C13orf15	0.652897572
C21orf7	0.653693012
TUBB3	0.654350676
CHST8	0.655896807
RAB9A	0.656959634
MFAP4	0.65745677
TAF9	0.657512706
ATP5I	0.661205831
ATP1B3	0.662569463
HSPC111	0.662569463
C19orf50	0.663165249
PKLR	0.663165249
MYF6	0.663350647
FOSL2	0.663448189
PDIA4	0.666731855
RPL36A	0.666731855
ELOVL6	0.667196701
MTHFD2	0.667374384
CLNS1A	0.668647923
USP13	0.668647923
KIAA0090	0.669239355
CORO2A	0.669519656
FAM62A	0.669633702
ECM2	0.669899879
MYT1	0.669899879
USP34	0.670157479
SERPINH1	0.67207447
CRMP1	0.672273003
FLJ21865	0.672273003
DLEU2	0.673141436
DNAJC10	0.673141436
RPS28	0.674277233
THBS4	0.674585548
PRDM13	0.676755482
KLHL25	0.676821865
NEUROD1	0.677683982
RC3H2	0.677683982
ZBED4	0.678671321
NUDT15	0.679121048
